,12:00,13:00,14:00,15:00,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,10:00,11:00
5:30,,5:30,0.687426,13.74852,,,2.5,0.9706970719,1.030187511,,1.773692413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:45,,5:45,0.687426,13.74852,,,2.5,0.9706970719,1.030187511,,1.65652171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,,6:00,0.687426,13.74852,,,2.5,0.9706970719,1.030187511,,1.66698921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:15,,6:15,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,2.161525307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:30,,6:30,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,3.193917425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:45,,6:45,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,3.713364165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,,7:00,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,1.803138209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:15,,7:15,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,4.176072741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:30,,7:30,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,2.120907886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:45,,7:45,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,3.336223437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,,8:00,0.537983,10.75966,,,2.5,0.8052280402,1.241884224,,3.184268914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:15,,8:15,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,2.875608976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:30,,8:30,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,2.956323595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:45,,8:45,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,3.790807101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,,9:00,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,3.766412794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,,10:00,0.537983,10.75966,,,2.5,0.8052280402,1.241884224,,1.478706805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,,11:00,0.537983,10.75966,,,3.5,0.7444553321,1.343263937,,2.053378688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3.15625,0.7853377446,1.294490266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
